id,title,difficulty,distance_m,duration_min,altitude_diff,altitude_start,has_rentals,lift_available,is_open,is_prepared,location,activity_type
smgpoi5f9d361ac5c45bdd4b34b80830cf6625_reduced,Castle trail San Genesio variation C,,,,,696.0,0,0,1,0,Bolzano/Bozen,other hikes
smgpoi325151d97353ee271efac98432e21859,Ruins Castle Altrasen,,,,,1176.0,0,0,0,0,Rasen-Antholz/Rasun Anterselva,2A289E6E6C56417C8C2A895CED9F07DB
smgpoi2a653e9b560fbfd7c079879eb9477506_reduced,Burgstall Graf Volkmar path,,,,,326.0,0,0,1,0,Burgstall/Postal,family hikings
smgpoi6958da6c5afe6f01df951c9ad239e463_reduced,Burgstall Höfetour,,,,,322.0,0,0,1,0,Burgstall/Postal,B702CF3773CF4A47AFEBC291618A7B7E
smgpoifc0a4d5ac48b56dd73aae52fb2ad7f89_reduced,Burgstall Knottnkino (Vöran),,,,,1168.0,0,0,1,0,Vöran/Verano,other hikes
smgpoi5e69b785964d6d67852566a1a073ea98,Waterfalls of the Burkhard Gorge,,,,,1406.0,0,0,0,0,Ratschings/Racines,2A289E6E6C56417C8C2A895CED9F07DB
dss_509,Burz,,876.0,0.07,326.0,1610.0,0,0,1,0,Corvara,activity
smgpoie626b50b31e64862b6856fb9a39cbef2,Burz,,,,,1933.0,0,0,1,0,Unknown,9CBAC00246A8467E93DD66F3A1A9C594
dss_215777,Burz,6,1052.0,0.13,328.0,1610.0,0,0,0,0,Corvara,activity
smgpoib01e422cda29d12d9c0f256a62f8ad1e,Burz,,,,,1938.0,0,0,0,0,Unknown,6285F49DBBE04393BAD29E6EF219EB03
dss_40572335,Busabella,4,600.0,0.02,300.0,1900.0,0,0,1,0,Unknown,activity
dss_215846,Busc,4,1464.0,0.11,360.0,2476.0,0,0,0,0,Unknown,activity
dss_40458687,Bus - Piculin,2,,0.01,,,0,0,1,0,Al Plan/San Vigilio,activity
dss_3146326,Bus - Ski Area Val Comelico - Signaue,,1269.0,0.06,356.0,,0,0,1,0,Unknown,activity
smgpoi6cb09fec09783b4a486fdfb52cbae0a1,Bus - Ski Area Val Comelico - Signaue,,,,,,0,0,1,0,Unknown,9CBAC00246A8467E93DD66F3A1A9C594
