id,en_title,activity_type,location,difficulty,distance_m,duration_min,summary,keywords,summary_source,hazard_flags,condition_flags,has_hazard,has_condition_info
smgpoi5d70b79dd41b0c7984010f7a308e870c,Winter-walk: Ratsberg/Monte Rota,climbing,Niederdorf/Villabassa,2,900.0,4.2,Climbing route in Niederdorf/Villabassa.,"winter-walk: ratsberg/monte rota, ratsberg/monte rota",template,,,False,False
smgpoi126adb077548cef18af02482bd575d08,Winter hike sunny Side Loop in Mareit,climbing,Ratschings/Racines,2,900.0,4.2,Climbing route in Ratschings/Racines.,"mareit, winter hike sunny side loop, winter",template,,,False,False
smgpoib8f837d65764b92f39547704b1aaa7b8,Winter-walk around the Toblach/Dobbiaco lake,climbing,Toblach/Dobbiaco,2,900.0,4.2,Climbing route in Toblach/Dobbiaco.,"winter-walk, the toblach/dobbiaco lake, toblach, dobbiaco",template,,,False,False
smgpoi4a1c19429367683a854b73b641eca692_reduced,Circular hike via Tschengg and Larchweg at winter,hiking,Tisens/Tesimo,2,900.0,4.2,Hiking route in Tisens/Tesimo.,"tschengg, larchweg, winter, circular hike",template,,,False,False
smgpoif2f4e911e98e630e3cc13bcdb14ff8a0,Circular winter hiking trail of Vals,climbing,Mühlbach/Rio di Pusteria,2,900.0,4.2,Climbing route in Mühlbach/Rio di Pusteria.,"vals, circular winter hiking trail",template,,,False,False
smgpoi61a63038ecf843f81861dea6f4cc1190_reduced,From Tesimo to the St. Christoph Church - Circular Hike at winter,hiking,Tisens/Tesimo,2,900.0,4.2,Hiking route in Tisens/Tesimo.,"tesimo, winter",template,,,False,False
smgpoiac138eb0c451cf59c8528dfad79238a3_reduced,Winter Circular Hike to the Flaner Jöchl Ridge on the Rosskopf,hiking,Sterzing/Vipiteno,2,900.0,4.2,Hiking route in Sterzing/Vipiteno. Rental equipment available.,"winter circular hike, the flaner jöchl ridge, the rosskopf, rosskopf",template,,rental,False,True
smgpoidb6caea6a99439998ff69cec7c28f795_reduced,Winter walk Santa Maria alla Fonderia,hiking,Martell/Martello,2,900.0,4.2,Hiking route in Martell/Martello.,"winter walk santa maria alla fonderia, winter, santa maria",template,,,False,False
smgpoi5e47fc29b87e4480a2aa854deda2491d,Winter walk:  San Vigilio - Passo Furcia,cycling,Al Plan/San Vigilio,2,900.0,4.2,Cycling route in Al Plan/San Vigilio.,"winter walk, san vigilio - passo furcia, winter, san vigilio -",template,,,False,False
smgpoif6ccdb65748ccbb2aa4daa1d56024a40,Winter walk: San Vigilio - Lé dla Creda,skiing,Al Plan/San Vigilio,2,900.0,4.2,Skiing route in Al Plan/San Vigilio.,"san vigilio - lé, winter walk, creda, winter",template,,,False,False
smgpoi8e4b7ee82720e4082065cda6c23cbf53,Winter walk: San Vigilio - Sarjei,climbing,Al Plan/San Vigilio,2,900.0,4.2,Climbing route in Al Plan/San Vigilio.,"san vigilio - sarjei, winter walk, winter",template,,,False,False
smgpoi3b9bf60873075e7c9f349c33bdc478df,Winter walk: San Vigilio - Tamersc - Pederü,climbing,Al Plan/San Vigilio,2,900.0,4.2,Climbing route in Al Plan/San Vigilio.,"winter walk, winter, san vigilio - tamersc - pederü",template,,,False,False
smgpoi2b04974a2e43cd838b83884a60b830fa,Winter walk from Picolin to Ju,climbing,San Martin /San Martino,2,900.0,4.2,Climbing route in San Martin /San Martino.,"picolin, winter",template,,,False,False
smgpoiede89f368516f83641cf84efeb4f9ed9_reduced,Winter excursion from Prissiano to Tesimo and back,family,Tisens/Tesimo,2,900.0,4.2,Family route in Tisens/Tesimo.,"prissiano, winter excursion, winter",template,,family,False,True
smgpoidccc532592a28f6bb84f4e5bd739f385,Winter hike: Panoramic hike in the Gsiesertal Valley,skiing,Gsies/Valle di Casies,2,900.0,4.2,Skiing route in Gsies/Valle di Casies.,"the gsiesertal valley, winter hike, panoramic hike, winter",template,,,False,False
smgpoib8474b44ab8cb6c5b7d34317acb22c39,Winter hike: Excursion among traditional farms in the Gsiesertal Valley,climbing,Gsies/Valle di Casies,2,900.0,4.2,Climbing route in Gsies/Valle di Casies.,"the gsiesertal valley, winter hike, excursion, traditional farms, winter",template,,,False,False
